run_id,condition,response,task_id,complexity,group
101,3,5,58.0,high,C
101,3,7,38.0,medium,C
101,3,4,5.0,low,C
101,3,2,52.0,high,C
101,3,2,56.0,high,C
101,3,4,27.0,medium,C
101,3,7,45.0,high,C
101,3,4,4.0,low,C
101,3,4,20.0,medium,C
101,3,5,63.0,high,C
101,3,5,41.0,high,C
101,3,4,21.0,medium,C
101,3,4,15.0,low,C
101,3,5,10.0,low,C
101,3,3,32.0,medium,C
101,3,2,36.0,medium,C
1,4,5,3.0,low,D
1,4,2,18.0,medium,D
1,4,7,12.0,low,D
1,4,2,57.0,high,D
1,4,7,29.0,medium,D
1,4,6,48.0,high,D
1,4,7,6.0,low,D
1,4,7,42.0,high,D
1,4,1,28.0,medium,D
1,4,3,49.0,high,D
1,4,6,61.0,high,D
1,4,4,55.0,high,D
1,4,3,40.0,medium,D
1,4,5,24.0,medium,D
1,4,4,16.0,low,D
1,4,1,34.0,medium,D
10,3,5,21.0,medium,C
10,3,3,52.0,high,C
10,3,7,10.0,low,C
10,3,6,38.0,medium,C
10,3,2,56.0,high,C
10,3,4,4.0,low,C
10,3,6,32.0,medium,C
10,3,7,63.0,high,C
10,3,2,41.0,high,C
10,3,2,27.0,medium,C
10,3,2,36.0,medium,C
10,3,5,45.0,high,C
10,3,3,5.0,low,C
10,3,4,58.0,high,C
10,3,5,15.0,low,C
10,3,4,20.0,medium,C
100,4,1,40.0,medium,D
100,4,7,6.0,low,D
100,4,5,42.0,high,D
100,4,5,48.0,high,D
100,4,4,16.0,low,D
100,4,5,24.0,medium,D
100,4,6,61.0,high,D
100,4,7,29.0,medium,D
100,4,2,57.0,high,D
100,4,5,55.0,high,D
100,4,3,18.0,medium,D
100,4,7,12.0,low,D
100,4,4,3.0,low,D
100,4,4,49.0,high,D
100,4,1,34.0,medium,D
100,4,1,28.0,medium,D
102,1,1,53.0,high,A
102,1,5,13.0,low,A
102,1,1,44.0,high,A
102,1,7,30.0,medium,A
102,1,1,22.0,medium,A
102,1,7,19.0,medium,A
102,1,6,2.0,low,A
102,1,4,11.0,low,A
102,1,1,7.0,low,A
102,1,5,59.0,high,A
102,1,7,62.0,high,A
102,1,6,25.0,medium,A
102,1,6,46.0,high,A
102,1,1,50.0,high,A
102,1,5,33.0,medium,A
102,1,3,39.0,medium,A
106,2,2,17.0,medium,B
106,2,2,31.0,medium,B
106,2,3,51.0,high,B
106,2,6,35.0,medium,B
106,2,4,47.0,high,B
106,2,2,23.0,medium,B
106,2,5,60.0,high,B
106,2,3,14.0,low,B
106,2,4,43.0,high,B
106,2,2,9.0,low,B
106,2,5,54.0,high,B
106,2,6,8.0,low,B
106,2,2,64.0,high,B
106,2,2,1.0,low,B
106,2,5,37.0,medium,B
106,2,5,26.0,medium,B
104,1,6,33.0,medium,A
104,1,2,53.0,high,A
104,1,7,59.0,high,A
104,1,1,50.0,high,A
104,1,6,2.0,low,A
104,1,3,44.0,high,A
104,1,5,46.0,high,A
104,1,3,22.0,medium,A
104,1,1,7.0,low,A
104,1,4,11.0,low,A
104,1,5,25.0,medium,A
104,1,7,62.0,high,A
104,1,5,30.0,medium,A
104,1,7,13.0,low,A
104,1,3,39.0,medium,A
104,1,3,19.0,medium,A
12,2,6,35.0,medium,B
12,2,2,1.0,low,B
12,2,6,8.0,low,B
12,2,4,17.0,medium,B
12,2,3,47.0,high,B
