task_id,probs,runtime,support
1,"[0.3726015459939108, 0.07394167822455831, 0.07996878664202248, 0.13557376593920895, 0.08180777468689106, 0.09769221326034318, 0.15841423525306528]",,"[1, 2, 3, 4, 5, 6, 7]"
2,"[0.27126980171626264, 0.11686123624309944, 0.14408206588304134, 0.09126506300247492, 0.0870810294669568, 0.09128730546315655, 0.1981534982250083]",,"[1, 2, 3, 4, 5, 6, 7]"
3,"[0.3161613933330072, 0.11094727124287544, 0.12142331936434865, 0.0981073291549328, 0.09948915966114191, 0.086131088931158, 0.16774043831253616]",,"[1, 2, 3, 4, 5, 6, 7]"
4,"[0.31571144747861274, 0.07093048475964306, 0.09663556702607017, 0.0583720857615964, 0.08075182734687078, 0.1144487684823656, 0.26314981914484126]",,"[1, 2, 3, 4, 5, 6, 7]"
5,"[0.30302023575124354, 0.07307836393448895, 0.10711310324234327, 0.06410423981102366, 0.07695487357573842, 0.11110429946336031, 0.2646248842218017]",,"[1, 2, 3, 4, 5, 6, 7]"
6,"[0.26936143724989536, 0.07315274465178048, 0.12282658340616937, 0.060926323735077476, 0.06741946532634324, 0.11242571828307722, 0.2938877273476568]",,"[1, 2, 3, 4, 5, 6, 7]"
7,"[0.5465056793125584, 0.03197755288845959, 0.030148276832450083, 0.01588781134406096, 0.012768710302446062, 0.03287451105111116, 0.3298374582689138]",,"[1, 2, 3, 4, 5, 6, 7]"
8,"[0.22033402334555474, 0.10945083783026391, 0.07527057360523395, 0.0505140603425106, 0.09274059429740648, 0.17637718242129885, 0.27531272815773145]",,"[1, 2, 3, 4, 5, 6, 7]"
9,"[0.44060637986303397, 0.07952796964392192, 0.08602911835819378, 0.047585353985296036, 0.04643259783929547, 0.0851972117368752, 0.2146213685733837]",,"[1, 2, 3, 4, 5, 6, 7]"
10,"[0.26917463166694355, 0.09503415348144476, 0.0898419651091504, 0.06441221166896449, 0.08215111135242559, 0.13110483801403475, 0.26828108870703643]",,"[1, 2, 3, 4, 5, 6, 7]"
11,"[0.2710191022298553, 0.0857443485137209, 0.1639863233974247, 0.15139816912409376, 0.0918489948328508, 0.0641434323555934, 0.1718596295464611]",,"[1, 2, 3, 4, 5, 6, 7]"
12,"[0.3396986908313541, 0.06791979578249245, 0.035443632868608875, 0.041173522683927294, 0.04931614510299042, 0.0525501470844837, 0.41389806564614323]",,"[1, 2, 3, 4, 5, 6, 7]"
13,"[0.22939747588017737, 0.10334483452753795, 0.11785657243201669, 0.0898907275916232, 0.09346203013443062, 0.14501307684569814, 0.22103528258851618]",,"[1, 2, 3, 4, 5, 6, 7]"
14,"[0.381991460251902, 0.08563831027726902, 0.10786453309361732, 0.05847167513907086, 0.05820276577381843, 0.0980181431770677, 0.2098131122872547]",,"[1, 2, 3, 4, 5, 6, 7]"
15,"[0.33051397642663594, 0.08452787478959362, 0.09478841500755629, 0.06166894455339791, 0.0705851125475606, 0.11111559570003618, 0.24680008097521958]",,"[1, 2, 3, 4, 5, 6, 7]"
16,"[0.3517661784961209, 0.08590217271762658, 0.15380291976204896, 0.09838169843445833, 0.08014235681035999, 0.0729143356069705, 0.1570903381724148]",,"[1, 2, 3, 4, 5, 6, 7]"
17,"[0.25183328198816074, 0.07939711957158846, 0.10658058856734616, 0.10759173438127446, 0.09495874882076387, 0.12068441188418737, 0.23895411478667883]",,"[1, 2, 3, 4, 5, 6, 7]"
18,"[0.3596733135628991, 0.10509494416511511, 0.12934969602781016, 0.06827611883650155, 0.08098483113781131, 0.09456146753283826, 0.1620596287370245]",,"[1, 2, 3, 4, 5, 6, 7]"
19,"[0.3063778921192757, 0.09962724651878237, 0.14276530154579395, 0.07351329405098679, 0.08211553568026328, 0.10497702247153426, 0.1906237076133637]",,"[1, 2, 3, 4, 5, 6, 7]"
20,"[0.31890681764528445, 0.11821812717617482, 0.09793617065454296, 0.07790967217374051, 0.08204531763708864, 0.09699857177423725, 0.20798532293893135]",,"[1, 2, 3, 4, 5, 6, 7]"
21,"[0.3111543241523292, 0.10102843675499264, 0.1490295422225477, 0.08518111793925508, 0.08755762401177332, 0.10634362372127171, 0.15970533119783037]",,"[1, 2, 3, 4, 5, 6, 7]"
22,"[0.30810684116664244, 0.08763377383733985, 0.1678753313190152, 0.053058449249572405, 0.08343542846719532, 0.09794285728963902, 0.20194731867059584]",,"[1, 2, 3, 4, 5, 6, 7]"
23,"[0.27986269715799017, 0.056870660792763844, 0.12861864907268442, 0.05842032189785617, 0.06132852659935203, 0.18500912655791593, 0.22989001792143746]",,"[1, 2, 3, 4, 5, 6, 7]"
24,"[0.273798773981508, 0.0793794542406336, 0.13732137008092754, 0.10612234327074711, 0.11227150527967394, 0.11485118019555784, 0.1762553729509518]",,"[1, 2, 3, 4, 5, 6, 7]"
25,"[0.26344151771680685, 0.08943021072785429, 0.1393606575013675, 0.07546282774769746, 0.09914764690430708, 0.12776806501417834, 0.20538907438778845]",,"[1, 2, 3, 4, 5, 6, 7]"
26,"[0.3248505992946117, 0.08896590123789001, 0.12667025540044125, 0.07200104528225164, 0.09118246747674127, 0.09473993080800355, 0.2015898005000607]",,"[1, 2, 3, 4, 5, 6, 7]"
27,"[0.2635486601260521, 0.11205293923279315, 0.1649057749068386, 0.08610490883082647, 0.10399760603085761, 0.12640971138543003, 0.14298039948720206]",,"[1, 2, 3, 4, 5, 6, 7]"
28,"[0.4342119407587196, 0.08100283318569493, 0.0987876425041158, 0.04541414360414633, 0.04815094076474616, 0.0791123918976278, 0.21332010728494946]",,"[1, 2, 3, 4, 5, 6, 7]"
29,"[0.284611128422155, 0.07898472559438165, 0.08795260009662886, 0.0713573612412491, 0.08934235827679603, 0.076806617351022, 0.3109452090177673]",,"[1, 2, 3, 4, 5, 6, 7]"
30,"[0.316085090097371, 0.07675248991264307, 0.1295160791690645, 0.07105160251931246, 0.08991388846257646, 0.08593606278800295, 0.23074478705102955]",,"[1, 2, 3, 4, 5, 6, 7]"
31,"[0.3777794227571168, 0.08989348501568989, 0.11991403735664169, 0.057298303222852655, 0.05726613743884437, 0.1017171022481923, 0.19613151196066228]",,"[1, 2, 3, 4, 5, 6, 7]"
32,"[0.35176958923823903, 0.09376337517821415, 0.10610096100743731, 0.09114314429366299, 0.0531263698243951, 0.07451466191437821, 0.22958189854367328]",,"[1, 2, 3, 4, 5, 6, 7]"
33,"[0.26792192210829224, 0.07930111282524967, 0.13755140531110666, 0.11855150238966489, 0.06848403019220942, 0.12406634758095894, 0.20412367959251823]",,"[1, 2, 3, 4, 5, 6, 7]"
34,"[0.5539246795517211, 0.05024856219104851, 0.04419969398380508, 0.017630772283313518, 0.015152250125411128, 0.042369303560623066, 0.27647473830407754]",,"[1, 2, 3, 4, 5, 6, 7]"
