task_id,probs,runtime,support,stderr
1,"[0.5, 0.45, 0.05]",6.826568126678467,"[5, 6, 7]",
2,"[0.15, 0.4, 0.35, 0.10000000000000002]",7.992928981781006,"[4, 5, 6, 7]",
3,"[0.4, 0.5, 0.10000000000000002]",6.5613319873809814,"[3, 4, 5]",
4,"[0.05, 0.29999999999999993, 0.5, 0.15]",8.493788719177246,"[4, 5, 6, 7]",
5,"[0.05, 0.25, 0.29999999999999993, 0.35, 0.05]",13.522983074188232,"[2, 3, 4, 5, 6]",
6,"[0.4, 0.6]",17.51791286468506,"[6, 7]",
7,"[0.2, 0.65, 0.15]",7.991319894790649,"[5, 6, 7]",
8,"[0.2, 0.45, 0.35]",14.863119125366211,"[1, 2, 3]",
9,"[0.2, 0.45, 0.15, 0.2]",6.979799747467041,"[3, 4, 5, 6]",
10,"[0.05, 0.2, 0.4, 0.29999999999999993, 0.05]",9.22737193107605,"[1, 2, 3, 4, 5]",
