task_id,language_full,number,location,quant_or_neg,vague_adj,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,code_full,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,complexity,example_answer,choice_index,finish_reason,text,codex_language_phrase_1,codex_code_phrase_1,codex_language_phrase_2,codex_code_phrase_2,codex_language_phrase_3,codex_code_phrase_3,codex_language_phrase_4,codex_code_phrase_4
1,"There are four stacks of red blocks, and there is one stack of yellow blocks.",1,,,,There are four stacks of red blocks.,There is one stack of yellow blocks.,,,"condition(filter(isRed, world.stacks).length == 4);
condition(filter(isYellow, world.stacks).length == 1);","condition(filter(isRed, world.stacks).length == 4);","condition(filter(isYellow, world.stacks).length == 1);",,,low,2,0,stop,"
// There are four stacks of red blocks.
condition(filter(isRed, world.stacks).length == 4);

// There is one stack of yellow blocks.
condition(filter(isYellow, world.stacks).length == 1);

",There are four stacks of red blocks.,"condition(filter(isRed, world.stacks).length == 4);",There is one stack of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 1);",,,,
2,"There are two stacks of yellow blocks, and there is one stack of red blocks.",1,,,,There are two stacks of yellow blocks.,There is one stack of red blocks.,,,"condition(filter(isYellow, world.stacks).length == 2);
condition(filter(isRed, world.stacks).length == 1);","condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isRed, world.stacks).length == 1);",,,low,5,0,stop,"
// There are two stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length == 2);

// There is one stack of red blocks.
condition(filter(isRed, world.stacks).length == 1);

",There are two stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 2);",There is one stack of red blocks.,"condition(filter(isRed, world.stacks).length == 1);",,,,
3,"There are two stacks of red blocks, and there are two stacks of yellow blocks.",1,,,,There are two stacks of red blocks.,There are two stacks of yellow blocks.,,,"condition(filter(isRed, world.stacks).length == 2);
condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isRed, world.stacks).length == 2);","condition(filter(isYellow, world.stacks).length == 2);",,,low,4,0,stop,"
// There are two stacks of red blocks.
condition(filter(isRed, world.stacks).length == 2);

// There are two stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length == 2);

",There are two stacks of red blocks.,"condition(filter(isRed, world.stacks).length == 2);",There are two stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 2);",,,,
4,"There are yellow blocks on the left side of the table, and there are red blocks on the right edge of the table.",,1,,,There are yellow blocks on the left side of the table.,There are red blocks on the right edge of the table.,,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);
condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.blocks))).length > 0);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);","condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.blocks))).length > 0);",,,low,3,0,stop,"
// There are yellow blocks on the left side of the table.
condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);

// There are red blocks on the right edge of the table.
condition(filter(isOnRight, filter(isRed, world.blocks)).length > 0);

",There are yellow blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);",There are red blocks on the right edge of the table.,"condition(filter(isOnRight, filter(isRed, world.blocks)).length > 0);",,,,
5,"There are red blocks on the left edge of the table, and there are yellow blocks on the right edge of the table.",,1,,,There are red blocks on the left edge of the table.,There are yellow blocks on the right edge of the table.,,,"condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.blocks))).length > 0);
condition(filter(isOnEdge, filter(isOnRight, filter(isYellow, world.blocks))).length > 0);","condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.blocks))).length > 0);","condition(filter(isOnEdge, filter(isOnRight, filter(isYellow, world.blocks))).length > 0);",,,low,4,0,stop,"
// There are red blocks on the left edge of the table.
condition(filter(isOnLeft, filter(isRed, world.blocks)).length > 0);

// There are yellow blocks on the right edge of the table.
condition(filter(isOnRight, filter(isYellow, world.blocks)).length > 0);

",There are red blocks on the left edge of the table.,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length > 0);",There are yellow blocks on the right edge of the table.,"condition(filter(isOnRight, filter(isYellow, world.blocks)).length > 0);",,,,
6,"There are yellow blocks on the edges of the table, and there are red blocks on the center of the table.",,1,,,There are yellow blocks on the edges of the table.,There are red blocks on the center of the table.,,,"condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);
condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);","condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);","condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);",,,low,6,0,stop,"
// There are yellow blocks on the edges of the table.
condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);

// There are red blocks on the center of the table.
condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);

",There are yellow blocks on the edges of the table.,"condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);",There are red blocks on the center of the table.,"condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);",,,,
7,All of the blocks are red.,,,1,,All of the blocks are red.,,,,"condition(all(isRed, world.blocks));","condition(all(isRed, world.blocks));",,,,low,1,0,stop,"
// All of the blocks are red.
condition(all(isRed, world.blocks));

",All of the blocks are red.,"condition(all(isRed, world.blocks));",,,,,,
8,Most of the blocks are yellow.,,,1,,Most of the blocks are yellow.,,,,"condition(filter(isYellow, world.blocks).length > world.blocks.length/2);","condition(filter(isYellow, world.blocks).length > world.blocks.length/2);",,,,low,6,0,stop,"
// Most of the blocks are yellow.
condition(filter(isYellow, world.blocks).length > filter(isRed, world.blocks).length);

",Most of the blocks are yellow.,"condition(filter(isYellow, world.blocks).length > filter(isRed, world.blocks).length);",,,,,,
9,"There are many red blocks, and there are a few yellow blocks.",,,1,,There are many red blocks.,There are a few yellow blocks.,,,"condition(filter(isRed, world.blocks).length >= 6);
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);","condition(filter(isRed, world.blocks).length >= 6);","condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);",,,low,2,0,stop,"
// There are many red blocks.
condition(filter(isRed, world.blocks).length > 5);

// There are a few yellow blocks.
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 5);

",There are many red blocks.,"condition(filter(isRed, world.blocks).length > 5);",There are a few yellow blocks.,"condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 5);",,,,
10,"There are several stacks of yellow blocks, and there are few stacks of red blocks.",,,1,,There are several stacks of yellow blocks.,There are few stacks of red blocks.,,,"condition(filter(isYellow, world.stacks).length > 2 && filter(isYellow, world.stacks).length <= 5);
condition(filter(isRed, world.stacks).length <= 4);","condition(filter(isYellow, world.stacks).length > 2 && filter(isYellow, world.stacks).length <= 5);","condition(filter(isRed, world.stacks).length <= 4);",,,low,5,0,stop,"
// There are several stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length > 1 && filter(isYellow, world.stacks).length <= 4);

// There are few stacks of red blocks.
condition(filter(isRed, world.stacks).length > 0 && filter(isRed, world.stacks).length <= 2);

",There are several stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length > 1 && filter(isYellow, world.stacks).length <= 4);",There are few stacks of red blocks.,"condition(filter(isRed, world.stacks).length > 0 && filter(isRed, world.stacks).length <= 2);",,,,
