task_id,probs,runtime,support,stderr
1,"[0.25, 0.625, 0.10000000000000002, 0.025]",51.891172885894775,"[1, 2, 3, 4]",
2,"[0.10000000000000002, 0.325, 0.525, 0.05]",21.440365076065063,"[4, 5, 6, 7]",
3,"[0.025, 0.29999999999999993, 0.4, 0.25, 0.025]",30.292987823486328,"[2, 3, 4, 5, 6]",
4,"[0.05, 0.12500000000000003, 0.45, 0.325, 0.05]",21.015148639678955,"[2, 3, 4, 5, 6]",
5,"[0.025, 0.10000000000000002, 0.45, 0.375, 0.05]",20.85467791557312,"[2, 3, 4, 5, 6]",
6,"[0.025, 0.025, 0.15, 0.325, 0.475]",25.317704916000366,"[2, 3, 4, 5, 6]",
7,[1],13.665029764175415,[1],
8,"[0.025, 0.575, 0.4]",16.19531011581421,"[5, 6, 7]",
9,"[0.12500000000000003, 0.575, 0.25, 0.05]",20.9271559715271,"[1, 2, 3, 4]",
10,"[0.025, 0.15, 0.525, 0.29999999999999993]",26.128318071365356,"[3, 4, 5, 6]",
11,"[0.29999999999999993, 0.525, 0.12500000000000003, 0.05]",17.057859182357788,"[3, 4, 5, 6]",
12,[1],13.960561037063599,[7],
13,"[0.12500000000000003, 0.525, 0.35]",16.13219690322876,"[5, 6, 7]",
14,"[0.05, 0.375, 0.35, 0.15, 0.075]",26.1407630443573,"[1, 2, 3, 4, 5]",
15,"[0.025, 0.25, 0.35, 0.325, 0.05]",26.083064794540405,"[1, 2, 3, 4, 5]",
16,"[0.05, 0.175, 0.55, 0.2, 0.025]",20.957798957824707,"[2, 3, 4, 5, 6]",
17,"[0.025, 0.10000000000000002, 0.25, 0.42499999999999993, 0.175, 0.025]",119.34423995018005,"[1, 2, 3, 4, 5, 6]",
18,"[0.29999999999999993, 0.325, 0.29999999999999993, 0.075]",27.494147777557373,"[2, 3, 4, 5]",
19,"[0.025, 0.29999999999999993, 0.45, 0.175, 0.05]",44.22128486633301,"[2, 3, 4, 5, 6]",
20,"[0.05, 0.25, 0.29999999999999993, 0.375, 0.025]",72.37086319923401,"[2, 3, 4, 5, 6]",
21,"[0.225, 0.275, 0.29999999999999993, 0.175, 0.025]",20.385567903518677,"[2, 3, 4, 5, 6]",
22,"[0.10000000000000002, 0.5, 0.225, 0.15, 0.025]",1378.491436958313,"[2, 3, 4, 5, 6]",
23,"[0.025, 0.15, 0.4, 0.375, 0.05]",1542.3011503219604,"[1, 2, 3, 4, 5]",
24,"[0.025, 0.12500000000000003, 0.4, 0.275, 0.12500000000000003, 0.05]",21.11040496826172,"[1, 2, 3, 4, 5, 6]",
25,"[0.025, 0.15, 0.6, 0.225]",25.37139892578125,"[4, 5, 6, 7]",
26,"[0.12500000000000003, 0.4, 0.35, 0.12500000000000003]",20.48324203491211,"[2, 3, 4, 5]",
27,"[0.625, 0.35, 0.025]",20.82491397857666,"[1, 2, 3]",
28,"[0.12500000000000003, 0.675, 0.2]",15.242536067962646,"[1, 2, 3]",
29,"[0.325, 0.675]",15.212559223175049,"[6, 7]",
30,"[0.075, 0.175, 0.4, 0.275, 0.075]",22.065252780914307,"[3, 4, 5, 6, 7]",
31,"[0.15, 0.675, 0.175]",28.349385976791382,"[1, 2, 3]",
